iter	Passed	Remaining
205	2514	9693
206	2528	9685
207	2539	9670
208	2550	9652
209	2561	9637
210	2572	9618
211	2583	9602
212	2593	9582
213	2604	9567
214	2615	9550
215	2626	9533
216	2637	9518
217	2649	9502
218	2661	9489
219	2672	9473
220	2682	9455
221	2692	9436
222	2704	9421
223	2714	9402
224	2725	9387
225	2739	9380
226	2755	9383
227	2766	9366
228	2777	9350
229	2787	9332
230	2798	9316
231	2809	9301
232	2820	9283
233	2831	9267
234	2842	9252
235	2853	9237
236	2865	9223
237	2876	9209
238	2887	9195
239	2898	9180
240	2910	9166
241	2921	9151
242	2932	9136
243	2947	9133
244	2959	9119
245	2970	9105
246	2981	9090
247	2992	9075
248	3003	9060
249	3014	9044
250	3026	9030
251	3037	9016
252	3048	9000
253	3060	8987
254	3071	8973
255	3082	8959
256	3093	8944
257	3104	8928
258	3116	8915
259	3130	8909
260	3141	8895
261	3153	8882
262	3164	8867
263	3175	8851
264	3185	8835
265	3196	8820
266	3207	8806
267	3219	8792
268	3230	8779
269	3242	8766
270	3253	8753
271	3265	8740
272	3276	8725
273	3287	8711
274	3301	8702
275	3312	8688
276	3323	8675
277	3334	8660
278	3345	8645
279	3356	8631
280	3367	8617
281	3379	8604
282	3391	8592
283	3402	8578
284	3414	8565
285	3425	8552
286	3437	8538
287	3448	8525
288	3465	8525
289	3476	8510
290	3488	8498
291	3499	8483
292	3510	8470
293	3521	8456
294	3532	8443
295	3544	8429
296	3555	8416
297	3566	8401
298	3578	8390
299	3589	8376
300	3600	8360
301	3611	8346
302	3622	8332
303	3634	8320
304	3648	8313
305	3659	8300
306	3671	8288
307	3683	8275
308	3694	8262
309	3706	8248
310	3717	8235
311	3728	8222
312	3739	8208
313	3751	8195
314	3763	8184
315	3774	8170
316	3786	8157
317	3796	8142
318	3807	8128
319	3818	8114
320	3835	8112
321	3846	8099
322	3857	8085
323	3869	8072
324	3880	8058
325	3891	8045
326	3902	8032
327	3913	8017
328	3923	8002
329	3935	7989
330	3946	7975
331	3957	7963
332	3968	7949
333	3980	7936
334	3991	7922
335	4002	7909
336	4017	7904
337	4028	7889
338	4039	7876
339	4049	7861
340	4060	7847
341	4071	7832
342	4082	7819
343	4092	7804
344	4102	7789
345	4113	7775
346	4123	7760
347	4133	7744
348	4144	7731
349	4155	7717
350	4167	7705
351	4178	7692
352	4188	7677
353	4199	7663
354	4210	7650
355	4221	7636
356	4231	7621
357	4243	7609
358	4254	7596
359	4268	7588
360	4278	7574
361	4289	7559
362	4300	7546
363	4310	7532
364	4321	7518
365	4332	7504
366	4343	7491
367	4354	7478
368	4364	7464
369	4375	7450
370	4386	7437
371	4396	7422
372	4407	7409
373	4419	7396
374	4429	7383
375	4440	7369
376	4451	7355
377	4462	7343
378	4472	7329
379	4486	7320
380	4497	7307
381	4509	7294
382	4520	7281
383	4531	7269
384	4542	7256
385	4554	7244
386	4566	7232
387	4577	7219
388	4589	7208
389	4600	7196
390	4612	7183
391	4623	7170
392	4634	7158
393	4645	7145
394	4659	7135
395	4670	7123
396	4681	7111
397	4692	7098
398	4703	7085
399	4715	7072
400	4726	7060
401	4737	7047
402	4749	7036
403	4760	7022
404	4771	7009
405	4782	6997
406	4792	6983
407	4803	6969
408	4814	6956
409	4825	6943
410	4839	6936
411	4850	6923
412	4861	6910
413	4873	6897
414	4883	6884
415	4894	6871
416	4905	6858
417	4916	6845
418	4927	6833
419	4939	6821
420	4950	6807
421	4961	6795
422	4972	6782
423	4983	6769
424	4993	6755
425	5004	6743
426	5016	6731
427	5027	6719
428	5044	6714
429	5061	6709
430	5073	6697
431	5084	6685
432	5095	6672
433	5106	6660
434	5118	6647
435	5129	6635
436	5141	6623
437	5151	6609
438	5162	6596
439	5174	6585
440	5184	6571
441	5195	6559
442	5206	6546
443	5217	6533
444	5228	6520
445	5239	6508
446	5251	6497
447	5262	6483
448	5273	6471
449	5283	6457
450	5293	6443
451	5304	6430
452	5314	6417
453	5325	6405
454	5336	6392
455	5347	6379
456	5358	6367
457	5369	6354
458	5380	6341
459	5392	6329
460	5403	6318
461	5414	6305
462	5426	6293
463	5437	6281
464	5448	6269
465	5460	6257
466	5481	6256
467	5493	6244
468	5504	6232
469	5514	6218
470	5525	6205
471	5536	6192
472	5546	6179
473	5555	6165
474	5566	6152
475	5576	6139
476	5587	6126
477	5598	6113
478	5608	6100
479	5619	6088
480	5631	6075
481	5642	6064
482	5654	6052
483	5665	6040
484	5677	6028
485	5687	6015
486	5698	6003
487	5714	5995
488	5725	5983
489	5736	5971
490	5748	5959
491	5759	5947
492	5770	5934
493	5782	5922
494	5793	5910
495	5805	5898
496	5816	5887
497	5828	5874
498	5839	5863
499	5851	5851
500	5861	5838
501	5873	5826
502	5883	5813
503	5897	5803
504	5907	5790
505	5918	5777
506	5929	5765
507	5940	5753
508	5951	5740
509	5961	5727
510	5974	5716
511	5984	5703
512	5995	5691
513	6006	5679
514	6017	5667
515	6028	5654
516	6040	5643
517	6051	5631
518	6062	5618
519	6072	5605
520	6083	5592
521	6093	5580
522	6104	5567
523	6115	5554
524	6126	5542
525	6137	5530
526	6148	5518
527	6160	5507
528	6171	5494
529	6182	5482
530	6192	5469
531	6203	5457
532	6214	5444
533	6225	5432
534	6236	5420
535	6248	5408
536	6258	5396
537	6268	5382
538	6278	5369
539	6288	5357
540	6300	5345
541	6311	5333
542	6322	5321
543	6333	5308
544	6344	5297
545	6355	5284
546	6365	5271
547	6376	5259
548	6386	5246
549	6397	5234
550	6402	5217
551	6413	5204
552	6424	5192
553	6436	5182
554	6447	5169
555	6457	5156
556	6468	5144
557	6479	5132
558	6489	5119
559	6500	5107
560	6512	5095
561	6522	5083
562	6533	5071
563	6544	5059
564	6556	5047
565	6567	5036
566	6579	5024
567	6589	5011
568	6599	4999
569	6610	4986
570	6621	4974
571	6633	4963
572	6645	4952
573	6657	4941
574	6670	4930
575	6684	4920
576	6695	4908
577	6705	4895
578	6716	4883
579	6727	4871
580	6737	4859
581	6749	4847
582	6760	4835
583	6772	4824
584	6784	4812
585	6795	4801
586	6807	4789
587	6819	4778
588	6830	4766
589	6842	4754
590	6853	4743
591	6865	4731
592	6879	4721
593	6890	4709
594	6902	4698
595	6913	4686
596	6925	4674
597	6936	4662
598	6947	4651
599	6959	4639
600	6971	4628
601	6983	4616
602	6995	4605
603	7005	4593
604	7015	4580
605	7025	4567
606	7036	4555
607	7047	4543
608	7057	4531
609	7067	4518
610	7077	4505
611	7087	4493
612	7097	4480
613	7107	4468
614	7117	4455
615	7128	4443
616	7138	4431
617	7148	4418
618	7159	4406
619	7170	4394
620	7186	4385
621	7196	4373
622	7207	4361
623	7218	4349
624	7228	4336
625	7238	4324
626	7249	4312
627	7260	4300
628	7271	4288
629	7282	4277
630	7293	4265
631	7305	4253
632	7316	4242
633	7328	4230
634	7339	4218
635	7351	4207
636	7363	4196
637	7374	4184
638	7385	4172
639	7401	4163
640	7412	4151
641	7424	4139
642	7435	4128
643	7446	4116
644	7458	4104
645	7469	4093
646	7481	4081
647	7493	4070
648	7503	4058
649	7514	4046
650	7524	4033
651	7534	4021
652	7545	4009
653	7555	3997
654	7565	3984
655	7575	3972
656	7586	3960
657	7596	3948
658	7607	3936
659	7617	3924
660	7628	3912
661	7639	3900
662	7656	3891
663	7666	3879
664	7678	3867
665	7687	3855
666	7697	3843
667	7708	3830
668	7718	3818
669	7728	3806
670	7739	3794
671	7749	3782
672	7760	3770
673	7770	3758
674	7780	3746
675	7790	3733
676	7801	3722
677	7811	3709
678	7822	3697
679	7832	3685
680	7842	3673
681	7852	3661
682	7864	3649
683	7874	3638
684	7885	3626
685	7897	3614
686	7908	3603
687	7919	3591
688	7929	3579
689	7941	3567
690	7958	3558
691	7969	3547
692	7980	3535
693	7991	3523
694	8002	3511
695	8012	3499
696	8023	3488
697	8034	3476
698	8045	3464
699	8057	3453
700	8067	3441
701	8079	3429
702	8091	3418
703	8102	3406
704	8113	3394
705	8123	3382
706	8133	3370
707	8143	3358
708	8154	3346
709	8164	3334
710	8176	3323
711	8188	3312
712	8198	3300
713	8210	3288
714	8220	3276
715	8231	3264
716	8242	3253
717	8253	3241
718	8265	3230
719	8276	3218
720	8288	3207
721	8299	3195
722	8310	3184
723	8321	3172
724	8332	3160
725	8343	3149
726	8355	3137
727	8367	3126
728	8378	3114
729	8389	3102
730	8399	3091
731	8411	3079
732	8422	3067
733	8433	3056
734	8444	3044
735	8455	3032
736	8466	3021
737	8477	3009
738	8489	2998
739	8500	2986
740	8511	2975
741	8522	2963
742	8533	2951
743	8546	2940
744	8557	2929
745	8569	2917
746	8581	2906
747	8592	2894
748	8603	2883
749	8614	2871
750	8625	2859
751	8637	2848
752	8649	2837
753	8660	2825
754	8671	2814
755	8683	2802
756	8693	2790
757	8704	2779
758	8717	2768
759	8728	2756
760	8740	2745
761	8751	2733
762	8763	2721
763	8774	2710
764	8785	2698
765	8797	2687
766	8808	2675
767	8820	2664
768	8831	2653
769	8843	2641
770	8853	2629
771	8865	2618
772	8877	2607
773	8889	2595
774	8899	2583
775	8910	2572
776	8921	2560
777	8933	2549
778	8943	2537
779	8955	2525
780	8967	2514
781	8979	2503
782	8990	2491
783	9001	2480
784	9012	2468
785	9023	2456
786	9034	2445
787	9049	2434
788	9060	2422
789	9070	2411
790	9082	2399
791	9093	2388
792	9105	2376
793	9115	2364
794	9125	2353
795	9135	2341
796	9146	2329
797	9158	2318
798	9169	2306
799	9180	2295
800	9191	2283
801	9202	2271
802	9213	2260
803	9224	2248
804	9235	2237
805	9245	2225
806	9267	2216
807	9278	2204
808	9290	2193
809	9300	2181
810	9311	2170
811	9322	2158
812	9334	2146
813	9345	2135
814	9356	2123
815	9367	2112
816	9379	2100
817	9390	2089
818	9401	2077
819	9411	2065
820	9422	2054
821	9433	2042
822	9443	2030
823	9457	2019
824	9468	2008
825	9479	1996
826	9490	1985
827	9501	1973
828	9512	1962
829	9523	1950
830	9535	1939
831	9547	1927
832	9558	1916
833	9570	1904
834	9581	1893
835	9592	1881
836	9603	1870
837	9616	1858
838	9627	1847
839	9638	1835
840	9650	1824
841	9661	1812
842	9672	1801
843	9683	1789
844	9695	1778
845	9706	1766
846	9717	1755
847	9728	1743
848	9739	1732
849	9750	1720
850	9760	1708
851	9770	1697
852	9781	1685
853	9792	1674
854	9805	1662
855	9816	1651
856	9826	1639
857	9837	1628
858	9848	1616
859	9859	1605
860	9871	1593
861	9882	1582
862	9894	1570
863	9905	1559
864	9916	1547
865	9927	1536
866	9938	1524
867	9949	1513
868	9962	1501
869	9975	1490
870	9986	1479
871	9998	1467
872	10009	1456
873	10019	1444
874	10031	1433
875	10042	1421
876	10053	1409
877	10064	1398
878	10075	1386
879	10086	1375
880	10097	1363
881	10108	1352
882	10119	1340
883	10130	1329
884	10143	1318
885	10154	1306
886	10166	1295
887	10177	1283
888	10188	1272
889	10199	1260
890	10211	1249
891	10222	1237
892	10233	1226
893	10244	1214
894	10256	1203
895	10267	1191
896	10279	1180
897	10289	1168
898	10301	1157
899	10316	1146
900	10327	1134
901	10338	1123
902	10349	1111
903	10360	1100
904	10371	1088
905	10382	1077
906	10394	1065
907	10405	1054
908	10416	1042
909	10427	1031
910	10438	1019
911	10449	1008
912	10460	996
913	10470	985
914	10481	973
915	10500	962
916	10511	951
917	10522	939
918	10534	928
919	10545	917
920	10556	905
921	10567	894
922	10578	882
923	10589	870
924	10601	859
925	10612	848
926	10624	836
927	10635	825
928	10645	813
929	10656	802
930	10670	790
931	10682	779
932	10693	767
933	10704	756
934	10715	744
935	10726	733
936	10737	721
937	10748	710
938	10759	698
939	10771	687
940	10782	676
941	10793	664
942	10805	653
943	10815	641
944	10827	630
945	10840	618
946	10851	607
947	10862	595
948	10873	584
949	10885	572
950	10896	561
951	10907	549
952	10918	538
953	10930	527
954	10941	515
955	10952	504
956	10963	492
957	10976	481
958	10986	469
959	10997	458
960	11012	446
961	11023	435
962	11035	423
963	11046	412
964	11058	401
965	11070	389
966	11081	378
967	11093	366
968	11103	355
969	11115	343
970	11127	332
971	11138	320
972	11150	309
973	11160	297
974	11171	286
975	11182	274
976	11193	263
977	11205	252
978	11216	240
979	11227	229
980	11239	217
981	11250	206
982	11261	194
983	11273	183
984	11284	171
985	11296	160
986	11307	148
987	11319	137
988	11329	126
989	11340	114
990	11355	103
991	11366	91
992	11377	80
993	11388	68
994	11399	57
995	11410	45
996	11421	34
997	11432	22
998	11443	11
999	11454	0
